product_code,category,business_line_code,business_line,sector,structure_code,factory,brand,start_production_date,end_production_date
PRD_7747,CAT_01,BLC_01,BL_01,SECTOR_01,STR_01,FACTORY_01,BRAND_01,2022-05-25,2024-03-18
PRD_12705,CAT_02,BLC_02,BL_02,SECTOR_02,STR_02,FACTORY_02,BRAND_02,2013-12-17,2016-12-01
PRD_13060,CAT_03,BLC_02,BL_02,SECTOR_03,STR_03,FACTORY_03,BRAND_02,,2020-10-05
PRD_8689,CAT_04,BLC_02,BL_03,SECTOR_03,STR_03,FACTORY_04,BRAND_02,2016-03-30,2018-01-26
PRD_13150,CAT_04,BLC_02,BL_03,SECTOR_03,STR_03,FACTORY_04,BRAND_02,2016-03-30,2018-01-26
PRD_13151,CAT_04,BLC_02,BL_03,SECTOR_03,STR_04,FACTORY_04,BRAND_02,2016-07-13,2019-02-01
PRD_13160,CAT_04,BLC_02,BL_03,SECTOR_03,STR_03,FACTORY_04,BRAND_02,2018-10-03,2019-01-31
PRD_13161,CAT_04,BLC_02,BL_03,SECTOR_03,STR_03,FACTORY_04,BRAND_02,2018-10-06,2019-01-31
PRD_13162,CAT_04,BLC_02,BL_03,SECTOR_03,STR_03,FACTORY_04,BRAND_02,2018-10-15,2019-01-31
PRD_12715,CAT_02,BLC_02,BL_02,SECTOR_02,STR_05,FACTORY_05,BRAND_02,2016-12-07,2020-08-28
PRD_12720,CAT_02,BLC_02,BL_02,SECTOR_02,STR_02,FACTORY_05,BRAND_02,2016-12-07,2020-08-30
PRD_13133,CAT_04,BLC_02,BL_03,SECTOR_03,STR_06,FACTORY_01,BRAND_02,2013-11-01,2018-03-06
PRD_13132,CAT_04,BLC_02,BL_03,SECTOR_03,STR_01,FACTORY_01,BRAND_02,2013-11-01,2018-04-23
PRD_14030,CAT_04,BLC_02,BL_03,SECTOR_03,STR_01,FACTORY_01,BRAND_02,2013-11-01,2018-04-23
PRD_14042,CAT_05,BLC_02,BL_03,SECTOR_03,STR_07,FACTORY_01,BRAND_02,2013-11-01,2018-08-28
PRD_14043,CAT_05,BLC_02,BL_03,SECTOR_03,STR_08,FACTORY_01,BRAND_02,2013-11-01,2018-03-27
PRD_13315,CAT_06,BLC_02,BL_03,SECTOR_03,STR_09,FACTORY_01,BRAND_02,2013-11-01,2017-09-01
PRD_13134,CAT_04,BLC_02,BL_03,SECTOR_03,STR_10,FACTORY_01,BRAND_02,2013-11-01,2018-04-23
PRD_13135,CAT_04,BLC_02,BL_03,SECTOR_03,STR_04,FACTORY_01,BRAND_02,2013-11-01,2014-06-16
PRD_13131,CAT_04,BLC_02,BL_03,SECTOR_03,STR_10,FACTORY_01,BRAND_02,2013-11-01,2018-03-08
PRD_14449,CAT_05,BLC_02,BL_03,SECTOR_03,STR_08,FACTORY_01,BRAND_02,2013-11-01,2018-08-28
PRD_14451,CAT_05,BLC_02,BL_03,SECTOR_03,STR_03,FACTORY_01,BRAND_02,2013-11-01,2018-08-28
PRD_14447,CAT_05,BLC_02,BL_03,SECTOR_03,STR_08,FACTORY_01,BRAND_02,2013-11-01,2018-08-28
PRD_14443,CAT_05,BLC_02,BL_03,SECTOR_03,STR_03,FACTORY_01,BRAND_02,2013-11-01,2018-09-19
PRD_14025,CAT_07,BLC_03,BL_04,SECTOR_03,STR_11,FACTORY_01,BRAND_02,2013-11-01,2020-12-07
PRD_14026,CAT_07,BLC_03,BL_04,SECTOR_03,STR_03,FACTORY_01,BRAND_02,2013-11-01,2020-12-07
PRD_14027,CAT_07,BLC_03,BL_04,SECTOR_03,STR_11,FACTORY_01,BRAND_02,2013-11-01,2020-12-07
PRD_13869,CAT_08,BLC_02,BL_05,SECTOR_04,STR_07,FACTORY_01,BRAND_02,2013-11-01,2018-06-01
PRD_14028,CAT_07,BLC_03,BL_04,SECTOR_03,STR_11,FACTORY_01,BRAND_02,2013-12-11,
